Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,ACI,CKI,CI,CSI,JBT,NFI,HMI,AAT,CMA,Listed SPRAT TaxonID,Kingdom,Class,Family,Genus,Species
Neophoca cinerea,"Australian SeaNalion, Australian Sea Lion",Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Yes,22,Animalia,Mammalia,Otariidae,Neophoca,cinerea
Mirounga leonina,Southern Elephant Seal,Vulnerable,Na,Na,Na,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Yes,Yes,Yes,26,Animalia,Mammalia,Phocidae,Mirounga,leonina
Balaenoptera borealis,Sei Whale,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Na,Yes,Yes,Yes,Na,Na,Yes,Yes,Yes,34,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis
Balaenoptera musculus,Blue Whale,Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Na,Yes,Yes,Yes,Yes,36,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus
Balaenoptera physalus,Fin Whale,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Na,Na,Na,Na,Na,Na,Yes,Yes,Yes,37,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus
Megaptera novaeangliae,Humpback Whale,Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae
Eubalaena australis,Southern Right Whale,Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Na,Na,Na,Yes,Yes,Yes,Yes,Yes,Yes,40,Animalia,Mammalia,Balaenidae,Eubalaena,australis
Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,66,Animalia,Mammalia,Muridae,Xeromys,myoides
Zyzomys pedunculatus,"Central RockNarat, Antina",Critically Endangered,Na,Na,Yes,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,68,Animalia,Mammalia,Muridae,Zyzomys,pedunculatus
Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,Na,Na,Na,Na,Yes,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,77,Animalia,Mammalia,Muridae,Pseudomys,shortridgei
Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Yes,Yes,Na,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,88,Animalia,Mammalia,Muridae,Pseudomys,fumeus
Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,89,Animalia,Mammalia,Muridae,Pseudomys,gouldii
Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,96,Animalia,Mammalia,Muridae,Pseudomys,novaehollandiae
Pseudomys oralis,"Hastings River Mouse, Koontoo",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,98,Animalia,Mammalia,Muridae,Pseudomys,oralis
Pseudomys pilligaensis,"Pilliga Mouse, Poolkoo",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,99,Animalia,Mammalia,Muridae,Pseudomys,pilligaensis
Notomys macrotis,"LargeNaeared HoppingNamouse, Noompa, Big Naeared HoppingNamouse",Extinct,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,101,Animalia,Mammalia,Muridae,Notomys,macrotis
Notomys mordax,"Darling Downs HoppingNamouse, Payi",Extinct,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,103,Animalia,Mammalia,Muridae,Notomys,mordax
Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,108,Animalia,Mammalia,Muridae,Pseudomys,australis
Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Na,Na,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,113,Animalia,Mammalia,Muridae,Pseudomys,fieldi
Notomys amplus,"ShortNatailed HoppingNamouse, Yoontoo",Extinct,Na,Na,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,122,Animalia,Mammalia,Muridae,Notomys,amplus
Notomys aquilo,"Northern HoppingNamouse, Woorrentinta",Vulnerable,Na,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,123,Animalia,Mammalia,Muridae,Notomys,aquilo
Notomys fuscus,"Dusky HoppingNamouse, Wilkiniti",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,125,Animalia,Mammalia,Muridae,Notomys,fuscus
Notomys longicaudatus,"LongNatailed HoppingNamouse, Koolawa, Talamba",Extinct,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,126,Animalia,Mammalia,Muridae,Notomys,longicaudatus
Conilurus albipes,"WhiteNafooted RabbitNarat, Parroo, WhiteNafooted TreeNarat",Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,131,Animalia,Mammalia,Muridae,Conilurus,albipes
Conilurus penicillatus,"BrushNatailed RabbitNarat, BrushNatailed TreeNarat, Pakooma",Vulnerable,Na,Na,Yes,Yes,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,132,Animalia,Mammalia,Muridae,Conilurus,penicillatus
Leporillus apicalis,"Lesser StickNanest Rat,Tjooyalpi, WhiteNatailed StickNanest Rat",Extinct,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,136,Animalia,Mammalia,Muridae,Leporillus,apicalis
Leporillus conditor,"Wopilkara, Greater StickNanest Rat",Vulnerable,Na,Yes,Na,Na,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,137,Animalia,Mammalia,Muridae,Leporillus,conditor
Macroderma gigas,Ghost Bat,Vulnerable,Na,Na,Yes,Yes,Yes,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,174,Animalia,Mammalia,Megadermatidae,Macroderma,gigas
Hipposideros semoni,"Semon's LeafNanosed Bat, Greater WartNanosed HorseshoeNabat",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,180,Animalia,Mammalia,Hipposideridae,Hipposideros,semoni
Chalinolobus dwyeri,"LargeNaeared Pied Bat, Large Pied Bat",Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,183,Animalia,Mammalia,Vespertilionidae,Chalinolobus,dwyeri
Pteropus conspicillatus,Spectacled FlyingNafox,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,185,Animalia,Mammalia,Pteropodidae,Pteropus,conspicillatus
Pteropus poliocephalus,GreyNaheaded FlyingNafox,Vulnerable,Yes,Yes,Na,Yes,Yes,Na,Yes,Na,Na,Na,Na,Na,Yes,Na,Na,Na,Na,186,Animalia,Mammalia,Pteropodidae,Pteropus,poliocephalus
