,Scientific_Name,Common_Name,Threatened_Status,Kingdom,Class,Family,Genus,Species
10,Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Animalia,Mammalia,Muridae,Pseudomys,fumeus
31,Pteropus poliocephalus,GreyNaheaded FlyingNafox,Vulnerable,Animalia,Mammalia,Pteropodidae,Pteropus,poliocephalus
37,Petrogale penicillata,BrushNatailed RockNawallaby,Vulnerable,Animalia,Mammalia,Macropodidae,Petrogale,penicillata
44,Petauroides volans,Greater Glider,Vulnerable,Animalia,Mammalia,Petauridae,Petauroides,volans
67,Grantiella picta,Painted Honeyeater,Vulnerable,Animalia,Aves,Meliphagidae,Grantiella,picta
76,Hirundapus caudacutus,WhiteNathroated Needletail,Vulnerable,Animalia,Aves,Apodidae,Hirundapus,caudacutus
79,Polytelis swainsonii,Superb Parrot,Vulnerable,Animalia,Aves,Psittacidae,Polytelis,swainsonii
80,Lathamus discolor,Swift Parrot,Critically Endangered,Animalia,Aves,Psittacidae,Lathamus,discolor
92,Falco hypoleucos,Grey Falcon,Vulnerable,Animalia,Aves,Falconidae,Falco,hypoleucos
95,Botaurus poiciloptilus,Australasian Bittern,Endangered,Animalia,Aves,Ardeidae,Botaurus,poiciloptilus
116,Delma impar,"Striped Legless Lizard, Striped SnakeNalizard",Vulnerable,Animalia,Reptilia,Pygopodidae,Delma,impar
118,Aprasia parapulchella,"PinkNatailed WormNalizard, PinkNatailed Legless Lizard",Vulnerable,Animalia,Reptilia,Pygopodidae,Aprasia,parapulchella
137,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",Vulnerable,Animalia,Amphibia,Hylidae,Litoria,raniformis
139,Litoria booroolongensis,Booroolong Frog,Endangered,Animalia,Amphibia,Hylidae,Litoria,booroolongensis
140,Litoria castanea,"YellowNaspotted Tree Frog, YellowNaspotted Bell Frog",Critically Endangered,Animalia,Amphibia,Hylidae,Litoria,castanea
141,Litoria aurea,Green and Golden Bell Frog,Vulnerable,Animalia,Amphibia,Hylidae,Litoria,aurea
293,Swainsona recta,"Small PurpleNapea, Mountain SwainsonNapea, Small Purple Pea",Endangered,Plantae,Magnoliopsida,Fabaceae,Swainsona,recta
300,Calotis glandulosa,Mauve BurrNadaisy,Vulnerable,Plantae,Magnoliopsida,Asteraceae,Calotis,glandulosa
410,Gentiana baeuerlenii,Baeuerlen's Gentian,Endangered,Plantae,Magnoliopsida,Gentianaceae,Gentiana,baeuerlenii
412,Dodonaea procumbens,Trailing HopNabush,Vulnerable,Plantae,Magnoliopsida,Sapindaceae,Dodonaea,procumbens
447,Pomaderris pallida,Pale Pomaderris,Vulnerable,Plantae,Magnoliopsida,Rhamnaceae,Pomaderris,pallida
483,Thesium australe,"Austral Toadflax, Toadflax",Vulnerable,Plantae,Magnoliopsida,Santalaceae,Thesium,australe
517,Lepidium hyssopifolium,"Basalt PepperNacress, Peppercress, Rubble PepperNacress, Pepperweed",Endangered,Plantae,Magnoliopsida,Brassicaceae,Lepidium,hyssopifolium
561,Diuris pedunculata,"Small Snake Orchid, TwoNaleaved Golden Moths, Golden Moths, Cowslip Orchid, Snake Orchid",Endangered,Plantae,Liliopsida,Orchidaceae,Diuris,pedunculata
608,Ammobium craspedioides,Yass Daisy,Vulnerable,Plantae,Magnoliopsida,Asteraceae,Ammobium,craspedioides
678,Pterostylis oreophila,"BlueNatongued Orchid, Kiandra Greenhood",Critically Endangered,Plantae,Liliopsida,Orchidaceae,Pterostylis,oreophila
714,Synemon plana,Golden Sun Moth,Critically Endangered,Animalia,Insecta,Castniidae,Synemon,plana
760,Maccullochella macquariensis,Trout Cod,Endangered,Animalia,Actinopterygii,Percichthyidae,Maccullochella,macquariensis
826,Prasophyllum petilum,Tarengo Leek Orchid,Endangered,Plantae,Liliopsida,Orchidaceae,Prasophyllum,petilum
1084,Muehlenbeckia tuggeranong,Tuggeranong Lignum,Endangered,Plantae,Magnoliopsida,Polygonaceae,Muehlenbeckia,tuggeranong
1149,Macquaria australasica,Macquarie Perch,Endangered,Animalia,Actinopterygii,Percichthyidae,Macquaria,australasica
1150,Maccullochella peelii,Murray Cod,Vulnerable,Animalia,Actinopterygii,Percichthyidae,Maccullochella,peelii
1171,Litoria verreauxii alpina,"Alpine Tree Frog, Verreaux's Alpine Tree Frog",Vulnerable,Animalia,Amphibia,Hylidae,Litoria,verreauxii
1172,Pseudophryne pengilleyi,Northern Corroboree Frog,Critically Endangered,Animalia,Amphibia,Myobatrachidae,Pseudophryne,pengilleyi
1188,Tympanocryptis pinguicolla,Grassland Earless Dragon,Endangered,Animalia,Reptilia,Agamidae,Tympanocryptis,pinguicolla
1237,Rutidosis leptorhynchoides,Button Wrinklewort,Endangered,Plantae,Magnoliopsida,Asteraceae,Rutidosis,leptorhynchoides
1273,Dasyurus maculatus maculatus (SE mainland population),"SpotNatailed Quoll, SpottedNatail Quoll, Tiger Quoll (southeastern mainland population)",Endangered,Animalia,Mammalia,Dasyuridae,Dasyurus,maculatus
1275,Caladenia actensis,Canberra Spider Orchid,Critically Endangered,Plantae,Liliopsida,Orchidaceae,Caladenia,actensis
1276,Bidyanus bidyanus,"Silver Perch, Bidyan",Critically Endangered,Animalia,Actinopterygii,Terapontidae,Bidyanus,bidyanus
1287,Rostratula australis,Australian Painted Snipe,Endangered,Animalia,Aves,Rostratulidae,Rostratula,australis
1307,Lepidium ginninderrense,Ginninderra Peppercress,Vulnerable,Plantae,Magnoliopsida,Brassicaceae,Lepidium,ginninderrense
1319,Corunastylis ectopa,"Brindabella MidgeNaorchid, Ectopic MidgeNaorchid",Critically Endangered,Plantae,Liliopsida,Orchidaceae,Corunastylis,ectopa
1369,Anthochaera phrygia,Regent Honeyeater,Critically Endangered,Animalia,Aves,Meliphagidae,Anthochaera,phrygia
