,Unnamed: 0,Scientific_Name,Common_Name,Threatened_Status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Family,Genus,Species
2,2,Balaenoptera borealis,Sei Whale,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis
3,3,Balaenoptera musculus,Blue Whale,Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus
4,4,Balaenoptera physalus,Fin Whale,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus
5,5,Megaptera novaeangliae,Humpback Whale,Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae
6,6,Eubalaena australis,Southern Right Whale,Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenidae,Eubalaena,australis
7,7,Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Mammalia,Muridae,Xeromys,myoides
10,10,Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Yes,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Mammalia,Muridae,Pseudomys,fumeus
11,11,Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Yes,Animalia,Mammalia,Muridae,Pseudomys,gouldii
12,12,Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Animalia,Mammalia,Muridae,Pseudomys,novaehollandiae
13,13,Pseudomys oralis,"Hastings River Mouse, Koontoo",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Muridae,Pseudomys,oralis
14,14,Pseudomys pilligaensis,"Pilliga Mouse, Poolkoo",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Mammalia,Muridae,Pseudomys,pilligaensis
