,Scientific_Name,Common_Name,Threatened_Status,Kingdom,Class,Family,Genus,Species
2,Balaenoptera borealis,Sei Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis
3,Balaenoptera musculus,Blue Whale,Endangered,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus
4,Balaenoptera physalus,Fin Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus
5,Megaptera novaeangliae,Humpback Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae
6,Eubalaena australis,Southern Right Whale,Endangered,Animalia,Mammalia,Balaenidae,Eubalaena,australis
7,Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Animalia,Mammalia,Muridae,Xeromys,myoides
11,Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Animalia,Mammalia,Muridae,Pseudomys,gouldii
12,Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,novaehollandiae
13,Pseudomys oralis,"Hastings River Mouse, Koontoo",Endangered,Animalia,Mammalia,Muridae,Pseudomys,oralis
16,Notomys mordax,"Darling Downs HoppingNamouse, Payi",Extinct,Animalia,Mammalia,Muridae,Notomys,mordax
17,Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,australis
20,Notomys aquilo,"Northern HoppingNamouse, Woorrentinta",Vulnerable,Animalia,Mammalia,Muridae,Notomys,aquilo
21,Notomys fuscus,"Dusky HoppingNamouse, Wilkiniti",Vulnerable,Animalia,Mammalia,Muridae,Notomys,fuscus
23,Conilurus albipes,"WhiteNafooted RabbitNarat, Parroo, WhiteNafooted TreeNarat",Extinct,Animalia,Mammalia,Muridae,Conilurus,albipes
24,Conilurus penicillatus,"BrushNatailed RabbitNarat, BrushNatailed TreeNarat, Pakooma",Vulnerable,Animalia,Mammalia,Muridae,Conilurus,penicillatus
27,Macroderma gigas,Ghost Bat,Vulnerable,Animalia,Mammalia,Megadermatidae,Macroderma,gigas
28,Hipposideros semoni,"Semon's LeafNanosed Bat, Greater WartNanosed HorseshoeNabat",Vulnerable,Animalia,Mammalia,Hipposideridae,Hipposideros,semoni
29,Chalinolobus dwyeri,"LargeNaeared Pied Bat, Large Pied Bat",Vulnerable,Animalia,Mammalia,Vespertilionidae,Chalinolobus,dwyeri
30,Pteropus conspicillatus,Spectacled FlyingNafox,Endangered,Animalia,Mammalia,Pteropodidae,Pteropus,conspicillatus
31,Pteropus poliocephalus,GreyNaheaded FlyingNafox,Vulnerable,Animalia,Mammalia,Pteropodidae,Pteropus,poliocephalus
33,Lasiorhinus krefftii,"Northern HairyNanosed Wombat, Yaminon",Critically Endangered,Animalia,Mammalia,Vombatidae,Lasiorhinus,krefftii
34,Bettongia tropica,Northern Bettong,Endangered,Animalia,Mammalia,Potoroidae,Bettongia,tropica
35,Caloprymnus campestris,Desert RatNakangaroo,Extinct,Animalia,Mammalia,Potoroidae,Caloprymnus,campestris
37,Petrogale penicillata,BrushNatailed RockNawallaby,Vulnerable,Animalia,Mammalia,Macropodidae,Petrogale,penicillata
38,Petrogale persephone,Proserpine RockNawallaby,Endangered,Animalia,Mammalia,Macropodidae,Petrogale,persephone
40,Onychogalea fraenata,"Bridled NailNatail Wallaby, Bridled Nailtail Wallaby",Endangered,Animalia,Mammalia,Macropodidae,Onychogalea,fraenata
43,Lagorchestes leporides,Eastern HareNawallaby,Extinct,Animalia,Mammalia,Macropodidae,Lagorchestes,leporides
44,Petauroides volans,Greater Glider,Vulnerable,Animalia,Mammalia,Petauridae,Petauroides,volans
48,Macrotis lagotis,Greater Bilby,Vulnerable,Animalia,Mammalia,Thylacomyidae,Macrotis,lagotis
49,Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",Extinct,Animalia,Mammalia,Thylacomyidae,Macrotis,leucura
55,Sminthopsis douglasi,Julia Creek Dunnart,Vulnerable,Animalia,Mammalia,Dasyuridae,Sminthopsis,douglasi
58,Dasyuroides byrnei,"Kowari, brushyNatailed marsupial rat, Byrne's crestNatailed marsupial rat ",Vulnerable,Animalia,Mammalia,Dasyuridae,Dasyuroides,byrnei
59,Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Animalia,Mammalia,Dasyuridae,Dasyurus,geoffroii
60,Dasyurus hallucatus,"Northern Quoll, Digul [GogoNaYimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Animalia,Mammalia,Dasyuridae,Dasyurus,hallucatus
64,Erythrura gouldiae,Gouldian Finch,Endangered,Animalia,Aves,Estrildidae,Erythrura,gouldiae
67,Grantiella picta,Painted Honeyeater,Vulnerable,Animalia,Aves,Meliphagidae,Grantiella,picta
69,Dasyornis brachypterus,Eastern Bristlebird,Endangered,Animalia,Aves,Pardalotidae,Dasyornis,brachypterus
70,Amytornis dorotheae,Carpentarian Grasswren,Endangered,Animalia,Aves,Maluridae,Amytornis,dorotheae
75,Atrichornis rufescens,Rufous ScrubNabird,Endangered,Animalia,Aves,Atrichornithidae,Atrichornis,rufescens
76,Hirundapus caudacutus,WhiteNathroated Needletail,Vulnerable,Animalia,Aves,Apodidae,Hirundapus,caudacutus
77,Psephotus chrysopterygius,"GoldenNashouldered Parrot, Alwal",Endangered,Animalia,Aves,Psittacidae,Psephotus,chrysopterygius
78,Psephotus pulcherrimus,Paradise Parrot,Extinct,Animalia,Aves,Psittacidae,Psephotus,pulcherrimus
80,Lathamus discolor,Swift Parrot,Critically Endangered,Animalia,Aves,Psittacidae,Lathamus,discolor
84,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically Endangered,Animalia,Aves,Scolopacidae,Numenius,madagascariensis
85,Calidris canutus,"Red Knot, Knot",Endangered,Animalia,Aves,Scolopacidae,Calidris,canutus
86,Calidris ferruginea,Curlew Sandpiper,Critically Endangered,Animalia,Aves,Scolopacidae,Calidris,ferruginea
87,Calidris tenuirostris,Great Knot,Critically Endangered,Animalia,Aves,Scolopacidae,Calidris,tenuirostris
88,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Animalia,Aves,Charadriidae,Charadrius,leschenaultii
89,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Animalia,Aves,Charadriidae,Charadrius,mongolus
90,Pedionomus torquatus,PlainsNawanderer,Critically Endangered,Animalia,Aves,Pedionomidae,Pedionomus,torquatus
91,Turnix melanogaster,BlackNabreasted ButtonNaquail,Vulnerable,Animalia,Aves,Turnicidae,Turnix,melanogaster
92,Falco hypoleucos,Grey Falcon,Vulnerable,Animalia,Aves,Falconidae,Falco,hypoleucos
94,Erythrotriorchis radiatus,Red Goshawk,Vulnerable,Animalia,Aves,Accipitridae,Erythrotriorchis,radiatus
95,Botaurus poiciloptilus,Australasian Bittern,Endangered,Animalia,Aves,Ardeidae,Botaurus,poiciloptilus
99,Macronectes giganteus,"Southern GiantNaPetrel, Southern Giant Petrel",Endangered,Animalia,Aves,Procellariidae,Macronectes,giganteus
100,Macronectes halli,Northern Giant Petrel,Vulnerable,Animalia,Aves,Procellariidae,Macronectes,halli
101,Phoebetria fusca,Sooty Albatross,Vulnerable,Animalia,Aves,Diomedeidae,Phoebetria,fusca
105,Denisonia maculata,Ornamental Snake,Vulnerable,Animalia,Reptilia,Elapidae,Denisonia,maculata
108,Lerista vittata,"Mount Cooper Striped Skink, Mount Cooper Striped Lerista",Vulnerable,Animalia,Reptilia,Scincidae,Lerista,vittata
109,Lerista allanae,"Allan's Lerista, Retro Slider",Endangered,Animalia,Reptilia,Scincidae,Lerista,allanae
111,Egernia rugosa,Yakka Skink,Vulnerable,Animalia,Reptilia,Scincidae,Egernia,rugosa
117,Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Animalia,Reptilia,Pygopodidae,Delma,torquata
