,Scientific_Name,Common_Name,Threatened_Status,Kingdom,Class,Family,Genus,Species
0,Neophoca cinerea,"Australian SeaNalion, Australian Sea Lion",Vulnerable,Animalia,Mammalia,Otariidae,Neophoca,cinerea
1,Mirounga leonina,Southern Elephant Seal,Vulnerable,Animalia,Mammalia,Phocidae,Mirounga,leonina
2,Balaenoptera borealis,Sei Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis
3,Balaenoptera musculus,Blue Whale,Endangered,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus
4,Balaenoptera physalus,Fin Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus
5,Megaptera novaeangliae,Humpback Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae
6,Eubalaena australis,Southern Right Whale,Endangered,Animalia,Mammalia,Balaenidae,Eubalaena,australis
9,Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,Animalia,Mammalia,Muridae,Pseudomys,shortridgei
10,Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Animalia,Mammalia,Muridae,Pseudomys,fumeus
11,Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Animalia,Mammalia,Muridae,Pseudomys,gouldii
17,Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,australis
18,Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,fieldi
19,Notomys amplus,"ShortNatailed HoppingNamouse, Yoontoo",Extinct,Animalia,Mammalia,Muridae,Notomys,amplus
21,Notomys fuscus,"Dusky HoppingNamouse, Wilkiniti",Vulnerable,Animalia,Mammalia,Muridae,Notomys,fuscus
22,Notomys longicaudatus,"LongNatailed HoppingNamouse, Koolawa, Talamba",Extinct,Animalia,Mammalia,Muridae,Notomys,longicaudatus
23,Conilurus albipes,"WhiteNafooted RabbitNarat, Parroo, WhiteNafooted TreeNarat",Extinct,Animalia,Mammalia,Muridae,Conilurus,albipes
25,Leporillus apicalis,"Lesser StickNanest Rat,Tjooyalpi, WhiteNatailed StickNanest Rat",Extinct,Animalia,Mammalia,Muridae,Leporillus,apicalis
26,Leporillus conditor,"Wopilkara, Greater StickNanest Rat",Vulnerable,Animalia,Mammalia,Muridae,Leporillus,conditor
27,Macroderma gigas,Ghost Bat,Vulnerable,Animalia,Mammalia,Megadermatidae,Macroderma,gigas
