,Scientific_Name,Common_Name,Threatened_Status,Kingdom,Class,Family,Genus,Species
1,Mirounga leonina,Southern Elephant Seal,Vulnerable,Animalia,Mammalia,Phocidae,Mirounga,leonina
2,Balaenoptera borealis,Sei Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis
3,Balaenoptera musculus,Blue Whale,Endangered,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus
4,Balaenoptera physalus,Fin Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus
5,Megaptera novaeangliae,Humpback Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae
6,Eubalaena australis,Southern Right Whale,Endangered,Animalia,Mammalia,Balaenidae,Eubalaena,australis
12,Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,novaehollandiae
53,Sarcophilus harrisii,Tasmanian Devil,Endangered,Animalia,Mammalia,Dasyuridae,Sarcophilus,harrisii
61,Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Animalia,Mammalia,Dasyuridae,Dasyurus,viverrinus
62,Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",Extinct,Animalia,Mammalia,Thylacinidae,Thylacinus,cynocephalus
65,Pardalotus quadragintus,FortyNaspotted Pardalote,Endangered,Animalia,Aves,Pardalotidae,Pardalotus,quadragintus
76,Hirundapus caudacutus,WhiteNathroated Needletail,Vulnerable,Animalia,Aves,Apodidae,Hirundapus,caudacutus
80,Lathamus discolor,Swift Parrot,Critically Endangered,Animalia,Aves,Psittacidae,Lathamus,discolor
81,Neophema chrysogaster,OrangeNabellied Parrot,Critically Endangered,Animalia,Aves,Psittacidae,Neophema,chrysogaster
84,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically Endangered,Animalia,Aves,Scolopacidae,Numenius,madagascariensis
85,Calidris canutus,"Red Knot, Knot",Endangered,Animalia,Aves,Scolopacidae,Calidris,canutus
86,Calidris ferruginea,Curlew Sandpiper,Critically Endangered,Animalia,Aves,Scolopacidae,Calidris,ferruginea
87,Calidris tenuirostris,Great Knot,Critically Endangered,Animalia,Aves,Scolopacidae,Calidris,tenuirostris
88,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Animalia,Aves,Charadriidae,Charadrius,leschenaultii
89,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Animalia,Aves,Charadriidae,Charadrius,mongolus
95,Botaurus poiciloptilus,Australasian Bittern,Endangered,Animalia,Aves,Ardeidae,Botaurus,poiciloptilus
97,Pterodroma mollis,SoftNaplumaged Petrel,Vulnerable,Animalia,Aves,Procellariidae,Pterodroma,mollis
98,Halobaena caerulea,Blue Petrel,Vulnerable,Animalia,Aves,Procellariidae,Halobaena,caerulea
99,Macronectes giganteus,"Southern GiantNaPetrel, Southern Giant Petrel",Endangered,Animalia,Aves,Procellariidae,Macronectes,giganteus
100,Macronectes halli,Northern Giant Petrel,Vulnerable,Animalia,Aves,Procellariidae,Macronectes,halli
101,Phoebetria fusca,Sooty Albatross,Vulnerable,Animalia,Aves,Diomedeidae,Phoebetria,fusca
123,Caretta caretta,Loggerhead Turtle,Endangered,Animalia,Reptilia,Cheloniidae,Caretta,caretta
124,Chelonia mydas,Green Turtle,Vulnerable,Animalia,Reptilia,Cheloniidae,Chelonia,mydas
125,Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Animalia,Reptilia,Cheloniidae,Eretmochelys,imbricata
127,Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Animalia,Reptilia,Dermochelyidae,Dermochelys,coriacea
