,Scientific_Name,Common_Name,Threatened_Status,Kingdom,Class,Family,Genus,Species
2,Balaenoptera borealis,Sei Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis
3,Balaenoptera musculus,Blue Whale,Endangered,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus
4,Balaenoptera physalus,Fin Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus
5,Megaptera novaeangliae,Humpback Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae
6,Eubalaena australis,Southern Right Whale,Endangered,Animalia,Mammalia,Balaenidae,Eubalaena,australis
9,Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,Animalia,Mammalia,Muridae,Pseudomys,shortridgei
10,Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Animalia,Mammalia,Muridae,Pseudomys,fumeus
11,Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Animalia,Mammalia,Muridae,Pseudomys,gouldii
12,Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,novaehollandiae
23,Conilurus albipes,"WhiteNafooted RabbitNarat, Parroo, WhiteNafooted TreeNarat",Extinct,Animalia,Mammalia,Muridae,Conilurus,albipes
25,Leporillus apicalis,"Lesser StickNanest Rat,Tjooyalpi, WhiteNatailed StickNanest Rat",Extinct,Animalia,Mammalia,Muridae,Leporillus,apicalis
31,Pteropus poliocephalus,GreyNaheaded FlyingNafox,Vulnerable,Animalia,Mammalia,Pteropodidae,Pteropus,poliocephalus
36,Potorous longipes,LongNafooted Potoroo,Endangered,Animalia,Mammalia,Potoroidae,Potorous,longipes
37,Petrogale penicillata,BrushNatailed RockNawallaby,Vulnerable,Animalia,Mammalia,Macropodidae,Petrogale,penicillata
40,Onychogalea fraenata,"Bridled NailNatail Wallaby, Bridled Nailtail Wallaby",Endangered,Animalia,Mammalia,Macropodidae,Onychogalea,fraenata
43,Lagorchestes leporides,Eastern HareNawallaby,Extinct,Animalia,Mammalia,Macropodidae,Lagorchestes,leporides
44,Petauroides volans,Greater Glider,Vulnerable,Animalia,Mammalia,Petauridae,Petauroides,volans
45,Burramys parvus,Mountain PygmyNapossum,Endangered,Animalia,Mammalia,Burramyidae,Burramys,parvus
46,Gymnobelideus leadbeateri,Leadbeater's Possum,Critically Endangered,Animalia,Mammalia,Petauridae,Gymnobelideus,leadbeateri
52,Chaeropus ecaudatus,"PigNafooted Bandicoot, Kanjilpa, Wilalya",Extinct,Animalia,Mammalia,Peramelidae,Chaeropus,ecaudatus
57,Phascogale calura,"RedNatailed Phascogale, RedNatailed Wambenger, Kenngoor",Vulnerable,Animalia,Mammalia,Dasyuridae,Phascogale,calura
61,Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Animalia,Mammalia,Dasyuridae,Dasyurus,viverrinus
66,Manorina melanotis,BlackNaeared Miner,Endangered,Animalia,Aves,Meliphagidae,Manorina,melanotis
67,Grantiella picta,Painted Honeyeater,Vulnerable,Animalia,Aves,Meliphagidae,Grantiella,picta
69,Dasyornis brachypterus,Eastern Bristlebird,Endangered,Animalia,Aves,Pardalotidae,Dasyornis,brachypterus
72,Pachycephala rufogularis,RedNalored Whistler,Vulnerable,Animalia,Aves,Pachycephalidae,Pachycephala,rufogularis
76,Hirundapus caudacutus,WhiteNathroated Needletail,Vulnerable,Animalia,Aves,Apodidae,Hirundapus,caudacutus
79,Polytelis swainsonii,Superb Parrot,Vulnerable,Animalia,Aves,Psittacidae,Polytelis,swainsonii
80,Lathamus discolor,Swift Parrot,Critically Endangered,Animalia,Aves,Psittacidae,Lathamus,discolor
81,Neophema chrysogaster,OrangeNabellied Parrot,Critically Endangered,Animalia,Aves,Psittacidae,Neophema,chrysogaster
84,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically Endangered,Animalia,Aves,Scolopacidae,Numenius,madagascariensis
85,Calidris canutus,"Red Knot, Knot",Endangered,Animalia,Aves,Scolopacidae,Calidris,canutus
86,Calidris ferruginea,Curlew Sandpiper,Critically Endangered,Animalia,Aves,Scolopacidae,Calidris,ferruginea
87,Calidris tenuirostris,Great Knot,Critically Endangered,Animalia,Aves,Scolopacidae,Calidris,tenuirostris
88,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Animalia,Aves,Charadriidae,Charadrius,leschenaultii
89,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Animalia,Aves,Charadriidae,Charadrius,mongolus
90,Pedionomus torquatus,PlainsNawanderer,Critically Endangered,Animalia,Aves,Pedionomidae,Pedionomus,torquatus
92,Falco hypoleucos,Grey Falcon,Vulnerable,Animalia,Aves,Falconidae,Falco,hypoleucos
93,Leipoa ocellata,Malleefowl,Vulnerable,Animalia,Aves,Megapodiidae,Leipoa,ocellata
95,Botaurus poiciloptilus,Australasian Bittern,Endangered,Animalia,Aves,Ardeidae,Botaurus,poiciloptilus
97,Pterodroma mollis,SoftNaplumaged Petrel,Vulnerable,Animalia,Aves,Procellariidae,Pterodroma,mollis
98,Halobaena caerulea,Blue Petrel,Vulnerable,Animalia,Aves,Procellariidae,Halobaena,caerulea
99,Macronectes giganteus,"Southern GiantNaPetrel, Southern Giant Petrel",Endangered,Animalia,Aves,Procellariidae,Macronectes,giganteus
100,Macronectes halli,Northern Giant Petrel,Vulnerable,Animalia,Aves,Procellariidae,Macronectes,halli
101,Phoebetria fusca,Sooty Albatross,Vulnerable,Animalia,Aves,Diomedeidae,Phoebetria,fusca
116,Delma impar,"Striped Legless Lizard, Striped SnakeNalizard",Vulnerable,Animalia,Reptilia,Pygopodidae,Delma,impar
118,Aprasia parapulchella,"PinkNatailed WormNalizard, PinkNatailed Legless Lizard",Vulnerable,Animalia,Reptilia,Pygopodidae,Aprasia,parapulchella
123,Caretta caretta,Loggerhead Turtle,Endangered,Animalia,Reptilia,Cheloniidae,Caretta,caretta
124,Chelonia mydas,Green Turtle,Vulnerable,Animalia,Reptilia,Cheloniidae,Chelonia,mydas
125,Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Animalia,Reptilia,Cheloniidae,Eretmochelys,imbricata
127,Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Animalia,Reptilia,Dermochelyidae,Dermochelys,coriacea
137,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",Vulnerable,Animalia,Amphibia,Hylidae,Litoria,raniformis
139,Litoria booroolongensis,Booroolong Frog,Endangered,Animalia,Amphibia,Hylidae,Litoria,booroolongensis
141,Litoria aurea,Green and Golden Bell Frog,Vulnerable,Animalia,Amphibia,Hylidae,Litoria,aurea
150,Philoria frosti,Baw Baw Frog,Critically Endangered,Animalia,Amphibia,Limnodynastidae,Philoria,frosti
151,Mixophyes balbus,"Stuttering Frog, Southern Barred Frog (in Victoria)",Vulnerable,Animalia,Amphibia,Myobatrachidae,Mixophyes,balbus
153,Heleioporus australiacus,Giant Burrowing Frog,Vulnerable,Animalia,Amphibia,Limnodynastidae,Heleioporus,australiacus
155,Pomaderris cotoneaster,Cotoneaster Pomaderris,Endangered,Plantae,Magnoliopsida,Rhamnaceae,Pomaderris,cotoneaster
158,Caladenia tessellata,"ThickNalipped SpiderNaorchid, Daddy LongNalegs",Vulnerable,Plantae,Liliopsida,Orchidaceae,Caladenia,tessellata
167,Taraxacum cygnorum,Coast Dandelion,Vulnerable,Plantae,Magnoliopsida,Asteraceae,Taraxacum,cygnorum
171,Acacia phasmoides,Phantom Wattle,Vulnerable,Plantae,Magnoliopsida,Fabaceae,Acacia,phasmoides
175,Pultenaea maidenii,Maiden's BushNapea,Extinct,Plantae,Magnoliopsida,Fabaceae,Pultenaea,maidenii
