,Scientific_Name,Common_Name,Threatened_Status,Kingdom,Class,Family,Genus,Species
0,Neophoca cinerea,"Australian SeaNalion, Australian Sea Lion",Vulnerable,Animalia,Mammalia,Otariidae,Neophoca,cinerea
2,Balaenoptera borealis,Sei Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis
3,Balaenoptera musculus,Blue Whale,Endangered,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus
4,Balaenoptera physalus,Fin Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus
5,Megaptera novaeangliae,Humpback Whale,Vulnerable,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae
6,Eubalaena australis,Southern Right Whale,Endangered,Animalia,Mammalia,Balaenidae,Eubalaena,australis
7,Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Animalia,Mammalia,Muridae,Xeromys,myoides
8,Zyzomys pedunculatus,"Central RockNarat, Antina",Critically Endangered,Animalia,Mammalia,Muridae,Zyzomys,pedunculatus
9,Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,Animalia,Mammalia,Muridae,Pseudomys,shortridgei
11,Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Animalia,Mammalia,Muridae,Pseudomys,gouldii
15,Notomys macrotis,"LargeNaeared HoppingNamouse, Noompa, Big Naeared HoppingNamouse",Extinct,Animalia,Mammalia,Muridae,Notomys,macrotis
17,Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,australis
18,Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Animalia,Mammalia,Muridae,Pseudomys,fieldi
19,Notomys amplus,"ShortNatailed HoppingNamouse, Yoontoo",Extinct,Animalia,Mammalia,Muridae,Notomys,amplus
22,Notomys longicaudatus,"LongNatailed HoppingNamouse, Koolawa, Talamba",Extinct,Animalia,Mammalia,Muridae,Notomys,longicaudatus
24,Conilurus penicillatus,"BrushNatailed RabbitNarat, BrushNatailed TreeNarat, Pakooma",Vulnerable,Animalia,Mammalia,Muridae,Conilurus,penicillatus
25,Leporillus apicalis,"Lesser StickNanest Rat,Tjooyalpi, WhiteNatailed StickNanest Rat",Extinct,Animalia,Mammalia,Muridae,Leporillus,apicalis
26,Leporillus conditor,"Wopilkara, Greater StickNanest Rat",Vulnerable,Animalia,Mammalia,Muridae,Leporillus,conditor
27,Macroderma gigas,Ghost Bat,Vulnerable,Animalia,Mammalia,Megadermatidae,Macroderma,gigas
32,Potorous platyops,"BroadNafaced Potoroo, Moda",Extinct,Animalia,Mammalia,Potoroidae,Potorous,platyops
39,Setonix brachyurus,Quokka,Vulnerable,Animalia,Mammalia,Macropodidae,Setonix,brachyurus
41,Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",Extinct,Animalia,Mammalia,Macropodidae,Onychogalea,lunata
42,Lagorchestes asomatus,"Kuluwarri, Central HareNawallaby",Extinct,Animalia,Mammalia,Macropodidae,Lagorchestes,asomatus
47,Perameles eremiana,"Desert Bandicoot, Walilya",Extinct,Animalia,Mammalia,Peramelidae,Perameles,eremiana
48,Macrotis lagotis,Greater Bilby,Vulnerable,Animalia,Mammalia,Thylacomyidae,Macrotis,lagotis
49,Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",Extinct,Animalia,Mammalia,Thylacomyidae,Macrotis,leucura
50,Sminthopsis psammophila,Sandhill Dunnart,Endangered,Animalia,Mammalia,Dasyuridae,Sminthopsis,psammophila
51,Myrmecobius fasciatus,Numbat,Endangered,Animalia,Mammalia,Myrmecobiidae,Myrmecobius,fasciatus
52,Chaeropus ecaudatus,"PigNafooted Bandicoot, Kanjilpa, Wilalya",Extinct,Animalia,Mammalia,Peramelidae,Chaeropus,ecaudatus
54,Sminthopsis butleri,Butler's Dunnart,Vulnerable,Animalia,Mammalia,Dasyuridae,Sminthopsis,butleri
56,Parantechinus apicalis,Dibbler,Endangered,Animalia,Mammalia,Dasyuridae,Parantechinus,apicalis
