,Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Family,Genus,Species
0,Neophoca cinerea,"Australian SeaNalion, Australian Sea Lion",Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Otariidae,Neophoca,cinerea
1,Mirounga leonina,Southern Elephant Seal,Vulnerable,Na,Na,Na,Na,Yes,Yes,Na,Na,Animalia,Mammalia,Phocidae,Mirounga,leonina
2,Balaenoptera borealis,Sei Whale,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenopteridae,Balaenoptera,borealis
3,Balaenoptera musculus,Blue Whale,Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenopteridae,Balaenoptera,musculus
4,Balaenoptera physalus,Fin Whale,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenopteridae,Balaenoptera,physalus
5,Megaptera novaeangliae,Humpback Whale,Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenopteridae,Megaptera,novaeangliae
6,Eubalaena australis,Southern Right Whale,Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Mammalia,Balaenidae,Eubalaena,australis
7,Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Mammalia,Muridae,Xeromys,myoides
8,Zyzomys pedunculatus,"Central RockNarat, Antina",Critically Endangered,Na,Na,Yes,Na,Na,Na,Na,Yes,Animalia,Mammalia,Muridae,Zyzomys,pedunculatus
9,Pseudomys shortridgei,"Heath Mouse, Dayang, Heath Rat",Endangered,Na,Na,Na,Na,Yes,Na,Yes,Yes,Animalia,Mammalia,Muridae,Pseudomys,shortridgei
10,Pseudomys fumeus,"Smoky Mouse, Konoom",Endangered,Yes,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Mammalia,Muridae,Pseudomys,fumeus
11,Pseudomys gouldii,"Gould's Mouse, Koontin",Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Yes,Animalia,Mammalia,Muridae,Pseudomys,gouldii
12,Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,Na,Yes,Na,Yes,Na,Yes,Yes,Na,Animalia,Mammalia,Muridae,Pseudomys,novaehollandiae
13,Pseudomys oralis,"Hastings River Mouse, Koontoo",Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Muridae,Pseudomys,oralis
14,Pseudomys pilligaensis,"Pilliga Mouse, Poolkoo",Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Mammalia,Muridae,Pseudomys,pilligaensis
15,Notomys macrotis,"LargeNaeared HoppingNamouse, Noompa, Big Naeared HoppingNamouse",Extinct,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Mammalia,Muridae,Notomys,macrotis
16,Notomys mordax,"Darling Downs HoppingNamouse, Payi",Extinct,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Muridae,Notomys,mordax
17,Pseudomys australis,"Plains Rat, Palyoora, Plains Mouse",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Animalia,Mammalia,Muridae,Pseudomys,australis
18,Pseudomys fieldi,"Shark Bay Mouse, Djoongari, Alice Springs Mouse",Vulnerable,Na,Na,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Muridae,Pseudomys,fieldi
19,Notomys amplus,"ShortNatailed HoppingNamouse, Yoontoo",Extinct,Na,Na,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Muridae,Notomys,amplus
20,Notomys aquilo,"Northern HoppingNamouse, Woorrentinta",Vulnerable,Na,Na,Yes,Yes,Na,Na,Na,Na,Animalia,Mammalia,Muridae,Notomys,aquilo
21,Notomys fuscus,"Dusky HoppingNamouse, Wilkiniti",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Na,Animalia,Mammalia,Muridae,Notomys,fuscus
22,Notomys longicaudatus,"LongNatailed HoppingNamouse, Koolawa, Talamba",Extinct,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Muridae,Notomys,longicaudatus
23,Conilurus albipes,"WhiteNafooted RabbitNarat, Parroo, WhiteNafooted TreeNarat",Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Muridae,Conilurus,albipes
24,Conilurus penicillatus,"BrushNatailed RabbitNarat, BrushNatailed TreeNarat, Pakooma",Vulnerable,Na,Na,Yes,Yes,Na,Na,Na,Yes,Animalia,Mammalia,Muridae,Conilurus,penicillatus
25,Leporillus apicalis,"Lesser StickNanest Rat,Tjooyalpi, WhiteNatailed StickNanest Rat",Extinct,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Mammalia,Muridae,Leporillus,apicalis
26,Leporillus conditor,"Wopilkara, Greater StickNanest Rat",Vulnerable,Na,Yes,Na,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Muridae,Leporillus,conditor
27,Macroderma gigas,Ghost Bat,Vulnerable,Na,Na,Yes,Yes,Yes,Na,Na,Yes,Animalia,Mammalia,Megadermatidae,Macroderma,gigas
28,Hipposideros semoni,"Semon's LeafNanosed Bat, Greater WartNanosed HorseshoeNabat",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Hipposideridae,Hipposideros,semoni
29,Chalinolobus dwyeri,"LargeNaeared Pied Bat, Large Pied Bat",Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Vespertilionidae,Chalinolobus,dwyeri
30,Pteropus conspicillatus,Spectacled FlyingNafox,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Pteropodidae,Pteropus,conspicillatus
31,Pteropus poliocephalus,GreyNaheaded FlyingNafox,Vulnerable,Yes,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Pteropodidae,Pteropus,poliocephalus
32,Potorous platyops,"BroadNafaced Potoroo, Moda",Extinct,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Mammalia,Potoroidae,Potorous,platyops
33,Lasiorhinus krefftii,"Northern HairyNanosed Wombat, Yaminon",Critically Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Vombatidae,Lasiorhinus,krefftii
34,Bettongia tropica,Northern Bettong,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Potoroidae,Bettongia,tropica
35,Caloprymnus campestris,Desert RatNakangaroo,Extinct,Na,Na,Na,Yes,Yes,Na,Na,Na,Animalia,Mammalia,Potoroidae,Caloprymnus,campestris
36,Potorous longipes,LongNafooted Potoroo,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Mammalia,Potoroidae,Potorous,longipes
37,Petrogale penicillata,BrushNatailed RockNawallaby,Vulnerable,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Animalia,Mammalia,Macropodidae,Petrogale,penicillata
38,Petrogale persephone,Proserpine RockNawallaby,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Macropodidae,Petrogale,persephone
39,Setonix brachyurus,Quokka,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Mammalia,Macropodidae,Setonix,brachyurus
40,Onychogalea fraenata,"Bridled NailNatail Wallaby, Bridled Nailtail Wallaby",Endangered,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Macropodidae,Onychogalea,fraenata
41,Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",Extinct,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Macropodidae,Onychogalea,lunata
42,Lagorchestes asomatus,"Kuluwarri, Central HareNawallaby",Extinct,Na,Na,Yes,Na,Na,Na,Na,Yes,Animalia,Mammalia,Macropodidae,Lagorchestes,asomatus
43,Lagorchestes leporides,Eastern HareNawallaby,Extinct,Na,Yes,Na,Yes,Yes,Na,Yes,Na,Animalia,Mammalia,Macropodidae,Lagorchestes,leporides
44,Petauroides volans,Greater Glider,Vulnerable,Yes,Yes,Na,Yes,Na,Na,Yes,Na,Animalia,Mammalia,Petauridae,Petauroides,volans
45,Burramys parvus,Mountain PygmyNapossum,Endangered,Na,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Mammalia,Burramyidae,Burramys,parvus
46,Gymnobelideus leadbeateri,Leadbeater's Possum,Critically Endangered,Na,Na,Na,Na,Na,Na,Yes,Na,Animalia,Mammalia,Petauridae,Gymnobelideus,leadbeateri
47,Perameles eremiana,"Desert Bandicoot, Walilya",Extinct,Na,Na,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Peramelidae,Perameles,eremiana
48,Macrotis lagotis,Greater Bilby,Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Animalia,Mammalia,Thylacomyidae,Macrotis,lagotis
49,Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",Extinct,Na,Na,Yes,Yes,Yes,Na,Na,Yes,Animalia,Mammalia,Thylacomyidae,Macrotis,leucura
50,Sminthopsis psammophila,Sandhill Dunnart,Endangered,Na,Na,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Dasyuridae,Sminthopsis,psammophila
51,Myrmecobius fasciatus,Numbat,Endangered,Na,Yes,Yes,Na,Yes,Na,Na,Yes,Animalia,Mammalia,Myrmecobiidae,Myrmecobius,fasciatus
52,Chaeropus ecaudatus,"PigNafooted Bandicoot, Kanjilpa, Wilalya",Extinct,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Mammalia,Peramelidae,Chaeropus,ecaudatus
53,Sarcophilus harrisii,Tasmanian Devil,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Mammalia,Dasyuridae,Sarcophilus,harrisii
54,Sminthopsis butleri,Butler's Dunnart,Vulnerable,Na,Na,Yes,Na,Na,Na,Na,Yes,Animalia,Mammalia,Dasyuridae,Sminthopsis,butleri
55,Sminthopsis douglasi,Julia Creek Dunnart,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Mammalia,Dasyuridae,Sminthopsis,douglasi
56,Parantechinus apicalis,Dibbler,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Mammalia,Dasyuridae,Parantechinus,apicalis
57,Phascogale calura,"RedNatailed Phascogale, RedNatailed Wambenger, Kenngoor",Vulnerable,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Mammalia,Dasyuridae,Phascogale,calura
58,Dasyuroides byrnei,"Kowari, brushyNatailed marsupial rat, Byrne's crestNatailed marsupial rat ",Vulnerable,Na,Na,Yes,Yes,Yes,Na,Na,Na,Animalia,Mammalia,Dasyuridae,Dasyuroides,byrnei
59,Dasyurus geoffroii,"Chuditch, Western Quoll",Vulnerable,Na,Yes,Yes,Yes,Yes,Na,Na,Yes,Animalia,Mammalia,Dasyuridae,Dasyurus,geoffroii
60,Dasyurus hallucatus,"Northern Quoll, Digul [GogoNaYimidir], Wijingadda [Dambimangari], Wiminji [Martu]",Endangered,Na,Na,Yes,Yes,Na,Na,Na,Yes,Animalia,Mammalia,Dasyuridae,Dasyurus,hallucatus
61,Dasyurus viverrinus,"Eastern Quoll, Luaner",Endangered,Na,Yes,Na,Na,Yes,Yes,Yes,Na,Animalia,Mammalia,Dasyuridae,Dasyurus,viverrinus
62,Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",Extinct,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Mammalia,Thylacinidae,Thylacinus,cynocephalus
63,Antechinus bellus,Fawn Antechinus,Vulnerable,Na,Na,Yes,Na,Na,Na,Na,Na,Animalia,Mammalia,Dasyuridae,Antechinus,bellus
64,Erythrura gouldiae,Gouldian Finch,Endangered,Na,Na,Yes,Yes,Na,Na,Na,Yes,Animalia,Aves,Estrildidae,Erythrura,gouldiae
65,Pardalotus quadragintus,FortyNaspotted Pardalote,Endangered,Na,Na,Na,Na,Na,Yes,Na,Na,Animalia,Aves,Pardalotidae,Pardalotus,quadragintus
66,Manorina melanotis,BlackNaeared Miner,Endangered,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Meliphagidae,Manorina,melanotis
67,Grantiella picta,Painted Honeyeater,Vulnerable,Yes,Yes,Yes,Yes,Yes,Na,Yes,Na,Animalia,Aves,Meliphagidae,Grantiella,picta
68,Dasyornis longirostris,Western Bristlebird,Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Aves,Pardalotidae,Dasyornis,longirostris
69,Dasyornis brachypterus,Eastern Bristlebird,Endangered,Na,Yes,Na,Yes,Na,Na,Yes,Na,Animalia,Aves,Pardalotidae,Dasyornis,brachypterus
70,Amytornis dorotheae,Carpentarian Grasswren,Endangered,Na,Na,Yes,Yes,Na,Na,Na,Na,Animalia,Aves,Maluridae,Amytornis,dorotheae
71,Amytornis woodwardi,"WhiteNathroated Grasswren, Yirlinkirrkirr",Vulnerable,Na,Na,Yes,Na,Na,Na,Na,Na,Animalia,Aves,Maluridae,Amytornis,woodwardi
72,Pachycephala rufogularis,RedNalored Whistler,Vulnerable,Na,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Aves,Pachycephalidae,Pachycephala,rufogularis
73,Petroica multicolor,"Norfolk Island Robin, Pacific Robin",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Petroicidae,Petroica,multicolor
74,Atrichornis clamosus,"Noisy ScrubNabird, Tjimiluk",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Aves,Atrichornithidae,Atrichornis,clamosus
75,Atrichornis rufescens,Rufous ScrubNabird,Endangered,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Atrichornithidae,Atrichornis,rufescens
76,Hirundapus caudacutus,WhiteNathroated Needletail,Vulnerable,Yes,Yes,Na,Yes,Yes,Yes,Yes,Na,Animalia,Aves,Apodidae,Hirundapus,caudacutus
77,Psephotus chrysopterygius,"GoldenNashouldered Parrot, Alwal",Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Psittacidae,Psephotus,chrysopterygius
78,Psephotus pulcherrimus,Paradise Parrot,Extinct,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Psittacidae,Psephotus,pulcherrimus
79,Polytelis swainsonii,Superb Parrot,Vulnerable,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Aves,Psittacidae,Polytelis,swainsonii
80,Lathamus discolor,Swift Parrot,Critically Endangered,Yes,Yes,Na,Yes,Yes,Yes,Yes,Na,Animalia,Aves,Psittacidae,Lathamus,discolor
81,Neophema chrysogaster,OrangeNabellied Parrot,Critically Endangered,Na,Yes,Na,Na,Yes,Yes,Yes,Na,Animalia,Aves,Psittacidae,Neophema,chrysogaster
82,Polytelis alexandrae,"Princess Parrot, Alexandra's Parrot",Vulnerable,Na,Na,Yes,Na,Yes,Na,Na,Yes,Animalia,Aves,Psittacidae,Polytelis,alexandrae
83,Calyptorhynchus baudinii,"Baudin's Cockatoo, LongNabilled BlackNaCockatoo",Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Aves,Cacatuidae,Calyptorhynchus,baudinii
84,Numenius madagascariensis,"Eastern Curlew, Far Eastern Curlew",Critically Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Scolopacidae,Numenius,madagascariensis
85,Calidris canutus,"Red Knot, Knot",Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Scolopacidae,Calidris,canutus
86,Calidris ferruginea,Curlew Sandpiper,Critically Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Scolopacidae,Calidris,ferruginea
87,Calidris tenuirostris,Great Knot,Critically Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Scolopacidae,Calidris,tenuirostris
88,Charadrius leschenaultii,"Greater Sand Plover, Large Sand Plover",Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Charadriidae,Charadrius,leschenaultii
89,Charadrius mongolus,"Lesser Sand Plover, Mongolian Plover",Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Charadriidae,Charadrius,mongolus
90,Pedionomus torquatus,PlainsNawanderer,Critically Endangered,Na,Yes,Yes,Yes,Yes,Na,Yes,Na,Animalia,Aves,Pedionomidae,Pedionomus,torquatus
91,Turnix melanogaster,BlackNabreasted ButtonNaquail,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Aves,Turnicidae,Turnix,melanogaster
92,Falco hypoleucos,Grey Falcon,Vulnerable,Yes,Yes,Yes,Yes,Yes,Na,Yes,Yes,Animalia,Aves,Falconidae,Falco,hypoleucos
93,Leipoa ocellata,Malleefowl,Vulnerable,Na,Yes,Yes,Na,Yes,Na,Yes,Yes,Animalia,Aves,Megapodiidae,Leipoa,ocellata
94,Erythrotriorchis radiatus,Red Goshawk,Vulnerable,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Aves,Accipitridae,Erythrotriorchis,radiatus
95,Botaurus poiciloptilus,Australasian Bittern,Endangered,Yes,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Ardeidae,Botaurus,poiciloptilus
96,Fregata andrewsi,"Christmas Island Frigatebird, Andrew's Frigatebird",Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Aves,Fregatidae,Fregata,andrewsi
97,Pterodroma mollis,SoftNaplumaged Petrel,Vulnerable,Na,Na,Na,Na,Yes,Yes,Yes,Yes,Animalia,Aves,Procellariidae,Pterodroma,mollis
98,Halobaena caerulea,Blue Petrel,Vulnerable,Na,Yes,Na,Na,Yes,Yes,Yes,Yes,Animalia,Aves,Procellariidae,Halobaena,caerulea
99,Macronectes giganteus,"Southern GiantNaPetrel, Southern Giant Petrel",Endangered,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Procellariidae,Macronectes,giganteus
100,Macronectes halli,Northern Giant Petrel,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Procellariidae,Macronectes,halli
101,Phoebetria fusca,Sooty Albatross,Vulnerable,Na,Yes,Na,Yes,Yes,Yes,Yes,Yes,Animalia,Aves,Diomedeidae,Phoebetria,fusca
102,Aipysurus apraefrontalis,ShortNanosed Seasnake,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Reptilia,Hydrophiidae,Aipysurus,apraefrontalis
103,Aipysurus foliosquama,LeafNascaled Seasnake,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Reptilia,Hydrophiidae,Aipysurus,foliosquama
104,Hoplocephalus bungaroides,BroadNaheaded Snake,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Elapidae,Hoplocephalus,bungaroides
105,Denisonia maculata,Ornamental Snake,Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Elapidae,Denisonia,maculata
106,Ramphotyphlops exocoeti,"Christmas Island Blind Snake, Christmas Island Pink Blind Snake",Vulnerable,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Typhlopidae,Ramphotyphlops,exocoeti
107,Tiliqua adelaidensis,"Pygmy BlueNatongue Lizard, Adelaide BlueNatongue Lizard",Endangered,Na,Na,Na,Na,Yes,Na,Na,Na,Animalia,Reptilia,Scincidae,Tiliqua,adelaidensis
108,Lerista vittata,"Mount Cooper Striped Skink, Mount Cooper Striped Lerista",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Lerista,vittata
109,Lerista allanae,"Allan's Lerista, Retro Slider",Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Lerista,allanae
110,Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island WhiptailNaskink",Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Emoia,nativitatis
111,Egernia rugosa,Yakka Skink,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Egernia,rugosa
112,Ctenotus lancelini,Lancelin Island Skink,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Reptilia,Scincidae,Ctenotus,lancelini
113,Cryptoblepharus egeriae,"Christmas Island BlueNatailed Skink, BlueNatailed SnakeNaeyed Skink",Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Scincidae,Cryptoblepharus,egeriae
114,Ctenophorus yinnietharra,Yinnietharra RockNaDragon,Vulnerable,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Reptilia,Agamidae,Ctenophorus,yinnietharra
115,Ophidiocephalus taeniatus,Bronzeback SnakeNalizard,Vulnerable,Na,Na,Yes,Na,Yes,Na,Na,Na,Animalia,Reptilia,Pygopodidae,Ophidiocephalus,taeniatus
116,Delma impar,"Striped Legless Lizard, Striped SnakeNalizard",Vulnerable,Yes,Yes,Na,Na,Yes,Na,Yes,Na,Animalia,Reptilia,Pygopodidae,Delma,impar
117,Delma torquata,"Adorned Delma, Collared Delma",Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Pygopodidae,Delma,torquata
118,Aprasia parapulchella,"PinkNatailed WormNalizard, PinkNatailed Legless Lizard",Vulnerable,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Reptilia,Pygopodidae,Aprasia,parapulchella
119,Aprasia pseudopulchella,Flinders Ranges WormNalizard,Vulnerable,Na,Na,Na,Na,Yes,Na,Na,Na,Animalia,Reptilia,Pygopodidae,Aprasia,pseudopulchella
120,Lepidodactylus listeri,"Christmas Island Gecko, Lister's Gecko",Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Na,Animalia,Reptilia,Gekkonidae,Lepidodactylus,listeri
121,Pseudemydura umbrina,Western Swamp Tortoise,Critically Endangered,Na,Na,Na,Na,Na,Na,Na,Yes,Animalia,Reptilia,Chelidae,Pseudemydura,umbrina
122,Rheodytes leukops,"Fitzroy River Turtle, Fitzroy Tortoise, Fitzroy Turtle, WhiteNaeyed River Diver",Vulnerable,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Reptilia,Chelidae,Rheodytes,leukops
123,Caretta caretta,Loggerhead Turtle,Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia,Cheloniidae,Caretta,caretta
124,Chelonia mydas,Green Turtle,Vulnerable,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia,Cheloniidae,Chelonia,mydas
125,Eretmochelys imbricata,Hawksbill Turtle,Vulnerable,Na,Yes,Yes,Yes,Na,Yes,Yes,Yes,Animalia,Reptilia,Cheloniidae,Eretmochelys,imbricata
126,Lepidochelys olivacea,"Olive Ridley Turtle, Pacific Ridley Turtle",Endangered,Na,Yes,Yes,Yes,Na,Na,Na,Yes,Animalia,Reptilia,Cheloniidae,Lepidochelys,olivacea
127,Dermochelys coriacea,"Leatherback Turtle, Leathery Turtle, Luth",Endangered,Na,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Animalia,Reptilia,Dermochelyidae,Dermochelys,coriacea
128,Cophixalus hosmeri,"Hosmer's Frog, Rattling NurseryNafrog",Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Microhylidae,Cophixalus,hosmeri
129,Cophixalus mcdonaldi,"McDonald's Frog, Mt Elliot NurseryNafrog",Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Microhylidae,Cophixalus,mcdonaldi
130,Cophixalus neglectus,"Neglected Frog, Bellenden Ker NurseryNafrog",Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Microhylidae,Cophixalus,neglectus
131,Litoria rheocola,Common Mistfrog,Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,rheocola
132,Cophixalus concinnus,Elegant Frog,Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Microhylidae,Cophixalus,concinnus
133,Litoria nannotis,"Waterfall Frog, Torrent Tree Frog",Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,nannotis
134,Litoria nyakalensis,"Mountain Mistfrog, Nyakala Frog",Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,nyakalensis
135,Litoria olongburensis,Wallum Sedge Frog,Vulnerable,Na,Yes,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,olongburensis
136,Litoria piperata,Peppered Tree Frog,Vulnerable,Na,Yes,Na,Na,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,piperata
137,Litoria raniformis,"Growling Grass Frog, Southern Bell Frog,  Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",Vulnerable,Yes,Yes,Na,Na,Yes,Yes,Yes,Na,Animalia,Amphibia,Hylidae,Litoria,raniformis
138,Litoria lorica,Armoured Mistfrog,Critically Endangered,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,lorica
139,Litoria booroolongensis,Booroolong Frog,Endangered,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Amphibia,Hylidae,Litoria,booroolongensis
140,Litoria castanea,"YellowNaspotted Tree Frog, YellowNaspotted Bell Frog",Critically Endangered,Yes,Yes,Na,Na,Na,Na,Na,Na,Animalia,Amphibia,Hylidae,Litoria,castanea
141,Litoria aurea,Green and Golden Bell Frog,Vulnerable,Yes,Yes,Na,Na,Na,Na,Yes,Na,Animalia,Amphibia,Hylidae,Litoria,aurea
142,Taudactylus diurnus,"Southern Day Frog, Mt Glorious Torrent Frog",Extinct,Na,Na,Na,Yes,Na,Na,Na,Na,Animalia,Amphibia,Myobatrachidae,Taudactylus,diurnus
