Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Species in Australia (Generated 2020-09-29 22:36:16)
Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,Endemic,Norfolk Island,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,
Acacia ammophila,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia aphylla,Leafless Rock Wattle,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia aprica,Blunt Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,Endemic,,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia aristulata,Watheroo Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia attenuata,,Vulnerable,Endemic,,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia auratiflora,Orange-flowered Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia awestoniana,Stirling Range Wattle,Vulnerable,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,Endemic,,TAS,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia brachypoda,Western Wheatbelt Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,Endemic,,VIC,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,Present,,"NSW, SA",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia chapmanii subsp. australis,,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,Endemic,,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
Acacia constablei,Narrabarba Wattle,Vulnerable,Endemic,,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,
