,Species,Common_Name,Category,Presence_Type,Location,Kingdom,Phylum,Class,Order,Family
0,Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,Endemic,"AET, NI",Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae
1,Acacia ammophila,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
2,Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
3,Acacia aphylla,Leafless Rock Wattle,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
4,Acacia aprica,Blunt Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
5,Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
6,Acacia aristulata,Watheroo Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
7,Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
8,Acacia attenuata,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
9,Acacia auratiflora,Orange-flowered Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
10,Acacia awestoniana,Stirling Range Wattle,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
11,Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,Endemic,TAS,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
12,Acacia brachypoda,Western Wheatbelt Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
13,Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
14,Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,Endemic,VIC,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
15,Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,Present,"NSW, SA",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
16,Acacia chapmanii subsp. australis,,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
17,Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
18,Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
19,Acacia constablei,Narrabarba Wattle,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
20,Acacia courtii,Northern Brother Wattle,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
21,Acacia cretacea,Chalky Wattle,Endangered,Endemic,SA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
22,Acacia crombiei,Pink Gidgee,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
23,Acacia curranii,Curly-bark Wattle,Vulnerable,Present,"NSW, QLD",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
24,Acacia dangarensis,,Critically Endangered,Present,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
25,Acacia denticulosa,Sandpaper Wattle,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
26,Acacia depressa,Echidna Wattle,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
27,Acacia deuteroneura,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
28,Acacia enterocarpa,Jumping-jack Wattle,Endangered,Present,"SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
29,Acacia equisetifolia,a shrub,Critically Endangered,Endemic,NT,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
30,Acacia eremophiloides,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
31,Acacia flocktoniae,Flockton Wattle,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
32,Acacia forrestiana,Forest's Wattle,Vulnerable,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
33,Acacia georgensis,Bega Wattle,Vulnerable,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
34,Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,Present,"SA, VIC",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
35,Acacia gordonii,,Endangered,Endemic,NSW,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
36,Acacia grandifolia,,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
37,Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
38,Acacia imitans,Gibson Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
39,Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
40,Acacia kingiana,,Extinct,Extinct,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
41,Acacia lanuginophylla,Woolly Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
42,Acacia latzii,Latz's Wattle,Vulnerable,Present,"NT, SA",Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
43,Acacia lauta,Tara Wattle,Vulnerable,Endemic,QLD,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
44,Acacia leptalea,Chinocup Wattle,Endangered,Endemic,WA,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae
