Current Name and SPRAT ID,Current Name and SPRAT ID,Current Name and SPRAT ID,"EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ","EPBC Act Threatened, Migratory, Marine and Cetacean Species ",EPBC Act Documents ,EPBC Act Documents ,EPBC Act Documents ,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,Taxonomic Data,"State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Territory and International Threatened Species","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence","State, Mainland Territory and External Territory Presence"
Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Bonn,Listed Name Bonn,CAMBA,Listed Name Camba,JAMBA,Listed Name Jamba,ROKAMBA,Listed Name Rokamba,Marine Status,Listed Name Marine,Cetacean,Finalised Priority Assessment List (FPAL),Listed Name FPAL,Conservation Advice,Recovery Plan,Recovery Plan Decisions,Kingdom,Phylum,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
66785,Abebaioscia troglodytes,Pannikin Plains Cave Isopod,,,,,,,,,,,,,,,,,,,,,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Abebaioscia,"crabs, lobsters, shrimps, woodlice",,,,,,,,,,,,,,,Vulnerable,Abebaioscia troglodytes,,,,,,,,,,Present,,,,,,,,,
18340,Abrotanella nivigena, ,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Abrotanella,dicots (two seed leaves),,,,,,,,,,,,, (Vulnerable), (Abrotanella nivigena),,,,,,,,,,,,,,,,,,,,,
81927,Abudefduf bengalensis,Bengal sergeant,,,,,,,,,,,,,,,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf bengalensis,,,,,,,,,,,,,,,,,
81928,Abudefduf sexfasciatus,Scissor-tail sergeant,,,,,,,,,,,,,,,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf sexfasciatus,,,,,,,,,,,,,,,,,
81929,Abudefduf sordidus,Blackspot sergeant,,,,,,,,,,,,,,,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf sordidus,,,,,,,,,,,,,,,,,
81930,Abudefduf vaigiensis,Indo-Pacific sergeant,,,,,,,,,,,,,,,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf vaigiensis,,,,,,,,,,,,,,,,,
81931,Abudefduf whitleyi,"Indo-Pacific sergeant, Whitley's sergeant",,,,,,,,,,,,,,,,,,,,,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,ray-finned fishes,,,,,,,,,,,,,,,,,Least Concern,Abudefduf whitleyi,,,,,,,,,,,,,,,,,
8929,Abutilon fraseri,Dwarf Lantern-flower,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,dicots (two seed leaves),,,,,,,,,,,,,Threatened (Subspecies are listed),Abutilon fraseri (Abutilon fraseri),,,,,,,,,,,Present,,,,,,,,,,
85646,Abutilon fraseri subsp. diplotrichum,Dwarf Lantern-flower,,,,,,,,,,,,,,,,,,,,,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Abutilon,dicots (two seed leaves),,,,,,,,,,,,, (Endangered), (Abutilon fraseri subsp. diplotrichum),,,,,,,,,,,,,,,,,,,,,
