,Species,Common_Name,Category,Presence_Type,Kingdom,Phylum,Class,Order,Family,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Location 9,Location 10,Location 11,Location 12,Location 13,Location 14,Location 15,Location 16,
0,Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,AET, NI,,,,,,,,,,,,,,,
1,Acacia ammophila,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,QLD,,,,,,,,,,,,,,,,
2,Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
3,Acacia aphylla,Leafless Rock Wattle,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
4,Acacia aprica,Blunt Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
5,Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,SA,,,,,,,,,,,,,,,,
6,Acacia aristulata,Watheroo Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
7,Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
8,Acacia attenuata,,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,QLD,,,,,,,,,,,,,,,,
9,Acacia auratiflora,Orange-flowered Wattle,Endangered,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
10,Acacia awestoniana,Stirling Range Wattle,Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,WA,,,,,,,,,,,,,,,,
11,Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,Endemic,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,TAS,,,,,,,,,,,,,,,,
